 by Role ,prema ulozi
 is not set,nije postavljen
""" does not exists",""" Ne postoji"
2 days ago,Prije 2 dana
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer Group""> Dodaj / Uredi < />"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory""> Dodaj / Uredi < />"
About,Oko
Actions,akcije
Add,Dodati
Add Attachments,Dodaj privitke
Add Bookmark,Dodaj Bookmark
Add Column,Dodaj stupac
Add Message,Dodaj poruku
Add Reply,Dodaj Odgovor
Add Serial No,Dodaj rednim brojem
Add This To User's Restrictions,Dodaj Ovaj na korisnikov Ograničenja
Add attachment,Dodaj privitak
Add new row,Dodaj novi redak
Add to To Do,Dodaj u Raditi
Add to To Do List of,Dodaj u napraviti popis od
"Allowing DocType, DocType. Be careful!","Dopuštanje DOCTYPE , vrstu dokumenata . Budite oprezni !"
Alternative download link,Alternativni link za download
Amend,Ispraviti
Are you sure you want to delete the attachment?,Jeste li sigurni da želite izbrisati privitak?
Ascending,Uzlazni
Assign To,Dodijeliti
Assigned To,Dodijeljeno
Assignments,zadaci
Attach Document Print,Priloži dokument Ispis
Attach as web link,Pričvrstite kao web veze
Attachments,Privitci
Billed,Naplaćeno
Bookmarks,Favoriti
Built on,izgrađen na
Calendar,Kalendar
Cancel,Otkazati
Cancelled,Otkazan
Cannot edit standard fields,Ne možete uređivati ​​standardnih polja
Cannot open instance when its {0} is open,Ne možete otvoriti primjer kada je {0} je otvoren
Cannot open {0} when its instance is open,Ne možete otvoriti {0} kada je instanca je otvoren
Cannot print cancelled documents,Ne možete ispisivati ​​dokumente otkazan
Clear Cache,Clear Cache
Click on row to view / edit.,Kliknite na red za pregled / uređivanje .
Click to Expand / Collapse,Kliknite na Proširi / Sažmi
Close,Zatvoriti
Close: {0},Zatvori : {0}
Collapse,kolaps
Comment,Komentirati
Comments,Komentari
Communication Medium,Komunikacija srednje
Company,Društvo
Complete By,Kompletan Do
Copy,Kopirajte
Creation / Modified By,Stvaranje / Izmijenio
Currency is required for Price List {0},Valuta je potrebno za Cjenika {0}
Current status,Trenutni status
Custom Reports,Prilagođena izvješća
Customize,Prilagodite
Date must be in format: {0},Datum mora biti u obliku : {0}
Dear,Drag
Default Customer Group,Zadani Korisnik Grupa
Default Territory,Zadani Regija
Delete,Izbrisati
Delete Row,Izbriši redak
Delivered,Isporučena
Descending,Spuštanje
Document Status transition from ,Dokument Status prijelaz iz
Document Status transition from {0} to {1} is not allowed,Status dokumenta tranzicija iz {0} u {1} nije dopušteno
Document is only editable by users of role,Dokument je samo uređivati ​​korisnika ulozi
Documentation,Dokumentacija
Download,Preuzimanje
Drafts,Nacrti
Drag to sort columns,Povuci za sortiranje stupaca
Edit,Uredi
Editable,Uređivati
Email,E-mail
"Email addresses, separted by commas","E-mail adrese, separted zarezom"
Email sent to {0},E-mail poslan na {0}
Email...,E-mail ...
Enable Shopping Cart,Omogućite Košarica
Enter Value,Unesite vrijednost
Equals,jednakima
Expand,proširiti
Export,Izvoz
Export not allowed. You need {0} role to export.,Izvoz nisu dopušteni . Trebate {0} ulogu za izvoz .
Field {0} is not selectable.,Polje {0} se ne može odabrati .
File,File
Filter,Filter
"For comparative filters, start with","Za komparativne filtera, početi s"
For ranges,Za raspone
Form,Oblik
Forums,Forum
From Date must be before To Date,Od datuma mora biti prije do danas
Gantt Chart,Gantogram
Get,Dobiti
Get From ,Nabavite Od
Greater or equals,Veće ili jednaki
Greater than,veći od
"Grid ""","Grid """
"Group Added, refreshing...","Grupa Dodano , osvježavajuće ..."
Help,Pomoći
History,Povijest
"Ignoring Item {0}, because a group exists with the same name!","Ignoriranje Stavka {0} , jer jegrupa postoji s istim imenom !"
Import,Uvoz
In,u
In response to,U odgovoru na
Insert Below,Umetnite Ispod
Insert Row,Umetnite Row
Invalid Billing Address,Pogrešna adresa naplate
Invalid Email: {0},Invalid Email : {0}
Invalid Filter: {0},Invalid Filter : {0}
Invalid Shipping Address,Invalid Dostava Adresa
Last updated by,Posljednji put ažurirao
Less or equals,Manje ili jednaki
Less than,manje od
Like,kao
Linked With,Povezan s
List,Popis
Loading,Utovar
Loading Report,Učitavanje izvješće
Logout,Odjava
Make a new,Napravite novi
Mandatory fields required in {0},Obavezna polja potrebni u {0}
Mandatory filters required:\n,Obvezni filteri potrebni : \ n
Message,Poruka
Missing Currency Exchange Rates for {0},Nedostaje Tečajne stope za {0}
Missing Values Required,Nedostaje vrijednosti potrebne
Modified by,Izmijenio
More,Više
Move Down: {0},Pomicanje dolje : {0}
Move Up: {0},Move Up : {0}
My Settings,Moje postavke
Name is required,Ime je potrebno
Name not permitted,Ime nije dopušteno
New,novi
New Record,Novi rekord
Next Record,Sljedeći slog
Next actions,Sljedeći akcije
No,Ne
No Communication tagged with this ,Ne Komunikacija označio s ovim
No Report Loaded. Please use query-report/[Report Name] to run a report.,Ne Izvješće Loaded. Molimo koristite upita izvješće / [Prijavi Ime] pokrenuti izvješće.
No Results,nema Rezultati
No document selected,Nema odabranih dokumenata
No one,Niko
No permission to edit,Nema dozvole za uređivanje
No records tagged.,Nema zapisa tagged.
None,Nijedan
None: End of Workflow,Ništa: Kraj Workflow
Not Allowed,Not Allowed
Not Found,Not Found
Not Linked to any record.,Nije povezan s bilo rekord.
Not Permitted,Nije dopušteno
Not Submitted,ne Postavio
Not allowed,nije dopušteno
Not enough permission to see links.,Nije dovoljno dozvolu za vidjeti linkove.
Not equals,nisu jednaki
Not found,nije pronađen
Not permitted,nije dopušteno
Note: Other permission rules may also apply,Napomena: Ostala pravila dozvole također može primijeniti
Nothing to show,Ništa pokazati
Nothing to show for this selection,Ništa za pokazati ovom izboru
Notify By Email,Obavijesti e-poštom
Open source ERP built for the web,Open source ERP izgrađena za web
Or Created By,Ili stvorili
Original Message,Izvorni Poruka
Page not found,Stranica nije pronađena
Paid,plaćen
Partially Billed,djelomično Naplaćeno
Partially Delivered,djelomično Isporučeno
Permanently Cancel {0}?,Trajno Odustani {0} ?
Permanently Submit {0}?,Trajno Podnijeti {0} ?
Permanently delete {0}?,Trajno brisanje {0} ?
Pick Columns,Pick stupce
Please attach a file first.,Molimo priložite datoteku prva.
Please attach a file or set a URL,Molimo priložite datoteku ili postaviti URL
Please enable pop-ups,Molimo omogućite pop-up prozora
Please enter Event's Date and Time!,Unesite događaja Datum i vrijeme!
Please enter some text!,Unesite tekst !
Please enter title!,Unesite naslov !
Please login to Upvote!,"Molimo , prijavite se upvote !"
Please specify,Navedite
Please specify a,Navedite
Please specify a Price List which is valid for Territory,Navedite cjenik koji vrijedi za teritoriju
Please specify currency in Company,Navedite valutu u Društvu
Please write something,Molimo napisati nešto
Please write something in subject and message!,Molimo napisati nešto u temi i poruke !
Post already exists. Cannot add again!,Post već postoji . Ne možete dodavati opet !
Post does not exist. Please add post!,Post ne postoji . Molimo dodajte post!
Previous Record,Prethodni rekord
Price List,Cjenik
